row_abs,keywords_llm,raw_response
0,"[""investment"", ""separate accounts"", ""money managers"", ""advisers"", ""industry""]","{""keywords"": [""investment"", ""separate accounts"", ""money managers"", ""advisers"", ""industry""]}"
1,"[""human cognition"", ""classical theory"", ""universal generalization"", ""connectionist models"", ""mental processes""]","{""keywords"": [""human cognition"", ""classical theory"", ""universal generalization"", ""connectionist models"", ""mental processes""]}"
2,"[""philosophy of mind"", ""information-based semantics"", ""content atomism"", ""language of thought"", ""cognitive representations""]","{""keywords"": [""philosophy of mind"", ""information-based semantics"", ""content atomism"", ""language of thought"", ""cognitive representations""]}"
3,"[""selective representing"", ""realism"", ""biological niches"", ""mind-independent world"", ""perceptual profiles""]","{""keywords"": [""selective representing"", ""realism"", ""biological niches"", ""mind-independent world"", ""perceptual profiles""]}"
4,"[""lob's theorem"", ""mechanism"", ""epistemic authority"", ""belief-set"", ""mechanizability""]","{""keywords"": [""lob's theorem"", ""mechanism"", ""epistemic authority"", ""belief-set"", ""mechanizability""]}"
5,"[""game theory"", ""individual rationality"", ""satisficing"", ""artificial societies"", ""cooperation""]","{""keywords"": [""game theory"", ""individual rationality"", ""satisficing"", ""artificial societies"", ""cooperation""]}"
6,"[""large scale systems"", ""process integration"", ""multivariable statistics"", ""process dimension"", ""controllability""]","{""keywords"": [""large scale systems"", ""process integration"", ""multivariable statistics"", ""process dimension"", ""controllability""]}"
7,"[""model-order reduction"", ""biological processes"", ""nonlinear partial differential equation"", ""state-space model"", ""singular perturbation approximation""]","{""keywords"": [""model-order reduction"", ""biological processes"", ""nonlinear partial differential equation"", ""state-space model"", ""singular perturbation approximation""]}"
8,"[""decentralized integral controllability"", ""control system design"", ""stable decentralized controllers"", ""steady-state process gain"", ""singular value""]","{""keywords"": [""decentralized integral controllability"", ""control system design"", ""stable decentralized controllers"", ""steady-state process gain"", ""singular value""]}"
9,"[""quadratic programming"", ""model predictive control"", ""large-scale applications"", ""efficient algorithms"", ""schur complement""]","{""keywords"": [""quadratic programming"", ""model predictive control"", ""large-scale applications"", ""efficient algorithms"", ""schur complement""]}"
10,"[""model predictive control"", ""linear matrix inequalities"", ""output feedback"", ""robustness"", ""uncertainty""]","{""keywords"": [""model predictive control"", ""linear matrix inequalities"", ""output feedback"", ""robustness"", ""uncertainty""]}"
11,"[""nonlinear systems"", ""pid controller"", ""robust performance"", ""chattering phenomenon"", ""stability properties""]","{""keywords"": [""nonlinear systems"", ""pid controller"", ""robust performance"", ""chattering phenomenon"", ""stability properties""]}"
12,"[""robotics"", ""neural network"", ""spatiotemporal sequences"", ""robot trajectories"", ""machine learning""]","{""keywords"": [""robotics"", ""neural network"", ""spatiotemporal sequences"", ""robot trajectories"", ""machine learning""]}"
13,"[""evolutionary methods"", ""controllers"", ""mobile robots"", ""evolution strategies"", ""epistasis""]","{""keywords"": [""evolutionary methods"", ""controllers"", ""mobile robots"", ""evolution strategies"", ""epistasis""]}"
14,"[""robotics"", ""neural controllers"", ""scalability"", ""neurofuzzy controller"", ""jointed legs""]","{""keywords"": [""robotics"", ""neural controllers"", ""scalability"", ""neurofuzzy controller"", ""jointed legs""]}"
